product,age_group,gender,state,ry,rydesc,prjtrx
MOUNJARO,20 to 39,FEMALE,MI,1,Nov 2024 - Oct 2025,40527
MOUNJARO,20 to 39,FEMALE,MI,2,Nov 2023 - Oct 2024,29411
MOUNJARO,20 to 39,FEMALE,MI,3,Nov 2022 - Oct 2023,24166
MOUNJARO,20 to 39,FEMALE,OH,1,Nov 2024 - Oct 2025,44339
MOUNJARO,20 to 39,FEMALE,OH,2,Nov 2023 - Oct 2024,37561
MOUNJARO,20 to 39,FEMALE,OH,3,Nov 2022 - Oct 2023,41367
MOUNJARO,20 to 39,MALE,MI,1,Nov 2024 - Oct 2025,24288
MOUNJARO,20 to 39,MALE,MI,2,Nov 2023 - Oct 2024,14874
MOUNJARO,20 to 39,MALE,MI,3,Nov 2022 - Oct 2023,7489
MOUNJARO,20 to 39,MALE,OH,1,Nov 2024 - Oct 2025,24300
MOUNJARO,20 to 39,MALE,OH,2,Nov 2023 - Oct 2024,15686
MOUNJARO,20 to 39,MALE,OH,3,Nov 2022 - Oct 2023,9680
MOUNJARO,20 to 39,UNKNOWN,MI,1,Nov 2024 - Oct 2025,10
MOUNJARO,20 to 39,UNKNOWN,OH,1,Nov 2024 - Oct 2025,29
MOUNJARO,20 to 39,UNKNOWN,OH,2,Nov 2023 - Oct 2024,7
MOUNJARO,20 to 39,UNKNOWN,OH,3,Nov 2022 - Oct 2023,2
MOUNJARO,40 to 59,FEMALE,MI,1,Nov 2024 - Oct 2025,264033
MOUNJARO,40 to 59,FEMALE,MI,2,Nov 2023 - Oct 2024,179595
MOUNJARO,40 to 59,FEMALE,MI,3,Nov 2022 - Oct 2023,96220
MOUNJARO,40 to 59,FEMALE,OH,1,Nov 2024 - Oct 2025,293150
MOUNJARO,40 to 59,FEMALE,OH,2,Nov 2023 - Oct 2024,205876
MOUNJARO,40 to 59,FEMALE,OH,3,Nov 2022 - Oct 2023,135887
MOUNJARO,40 to 59,MALE,MI,1,Nov 2024 - Oct 2025,207910
MOUNJARO,40 to 59,MALE,MI,2,Nov 2023 - Oct 2024,126503
MOUNJARO,40 to 59,MALE,MI,3,Nov 2022 - Oct 2023,51867
MOUNJARO,40 to 59,MALE,OH,1,Nov 2024 - Oct 2025,209911
MOUNJARO,40 to 59,MALE,OH,2,Nov 2023 - Oct 2024,126089
MOUNJARO,40 to 59,MALE,OH,3,Nov 2022 - Oct 2023,57285
MOUNJARO,40 to 59,UNKNOWN,MI,1,Nov 2024 - Oct 2025,15
MOUNJARO,40 to 59,UNKNOWN,MI,2,Nov 2023 - Oct 2024,0
MOUNJARO,40 to 59,UNKNOWN,MI,3,Nov 2022 - Oct 2023,1
MOUNJARO,40 to 59,UNKNOWN,OH,1,Nov 2024 - Oct 2025,58
MOUNJARO,40 to 59,UNKNOWN,OH,2,Nov 2023 - Oct 2024,38
MOUNJARO,40 to 59,UNKNOWN,OH,3,Nov 2022 - Oct 2023,14
MOUNJARO,60 to 64,FEMALE,MI,1,Nov 2024 - Oct 2025,93336
MOUNJARO,60 to 64,FEMALE,MI,2,Nov 2023 - Oct 2024,58087
MOUNJARO,60 to 64,FEMALE,MI,3,Nov 2022 - Oct 2023,23233
MOUNJARO,60 to 64,FEMALE,OH,1,Nov 2024 - Oct 2025,96047
MOUNJARO,60 to 64,FEMALE,OH,2,Nov 2023 - Oct 2024,58475
MOUNJARO,60 to 64,FEMALE,OH,3,Nov 2022 - Oct 2023,26324
MOUNJARO,60 to 64,MALE,MI,1,Nov 2024 - Oct 2025,81532
MOUNJARO,60 to 64,MALE,MI,2,Nov 2023 - Oct 2024,48625
MOUNJARO,60 to 64,MALE,MI,3,Nov 2022 - Oct 2023,16499
MOUNJARO,60 to 64,MALE,OH,1,Nov 2024 - Oct 2025,74031
MOUNJARO,60 to 64,MALE,OH,2,Nov 2023 - Oct 2024,41191
MOUNJARO,60 to 64,MALE,OH,3,Nov 2022 - Oct 2023,15670
MOUNJARO,60 to 64,UNKNOWN,MI,1,Nov 2024 - Oct 2025,8
MOUNJARO,60 to 64,UNKNOWN,MI,2,Nov 2023 - Oct 2024,2
MOUNJARO,60 to 64,UNKNOWN,OH,1,Nov 2024 - Oct 2025,26
MOUNJARO,60 to 64,UNKNOWN,OH,2,Nov 2023 - Oct 2024,3
MOUNJARO,60 to 64,UNKNOWN,OH,3,Nov 2022 - Oct 2023,1
MOUNJARO,65 to 74,FEMALE,MI,1,Nov 2024 - Oct 2025,152803
MOUNJARO,65 to 74,FEMALE,MI,2,Nov 2023 - Oct 2024,76200
MOUNJARO,65 to 74,FEMALE,MI,3,Nov 2022 - Oct 2023,21320
MOUNJARO,65 to 74,FEMALE,OH,1,Nov 2024 - Oct 2025,142810
MOUNJARO,65 to 74,FEMALE,OH,2,Nov 2023 - Oct 2024,67853
MOUNJARO,65 to 74,FEMALE,OH,3,Nov 2022 - Oct 2023,21113
MOUNJARO,65 to 74,MALE,MI,1,Nov 2024 - Oct 2025,122851
MOUNJARO,65 to 74,MALE,MI,2,Nov 2023 - Oct 2024,59813
MOUNJARO,65 to 74,MALE,MI,3,Nov 2022 - Oct 2023,15911
MOUNJARO,65 to 74,MALE,OH,1,Nov 2024 - Oct 2025,105150
MOUNJARO,65 to 74,MALE,OH,2,Nov 2023 - Oct 2024,46763
MOUNJARO,65 to 74,MALE,OH,3,Nov 2022 - Oct 2023,13636
MOUNJARO,65 to 74,UNKNOWN,MI,1,Nov 2024 - Oct 2025,5
MOUNJARO,65 to 74,UNKNOWN,MI,2,Nov 2023 - Oct 2024,3
MOUNJARO,65 to 74,UNKNOWN,MI,3,Nov 2022 - Oct 2023,1
MOUNJARO,65 to 74,UNKNOWN,OH,1,Nov 2024 - Oct 2025,11
MOUNJARO,65 to 74,UNKNOWN,OH,2,Nov 2023 - Oct 2024,3
MOUNJARO,65 to 74,UNKNOWN,OH,3,Nov 2022 - Oct 2023,2
